Approved by,Barcode,Brand,Building,CAS,Container type,Date in,Expire,Group,Hazard Classification,Region specific hazard code(s),Hazard code(s),Hazard Label(s),Laboratory,Location,Location path,Lot Number,Product name,NFPA Label,Note (Item),Note (Product),Responsible person,Packaging group,PPE,Precautionary statement(s),Product number,Proposed location,Purity (%),Quantity,Net Quantity,Quantity unit,Current quantity (Net),Normalized quantity,Normalized current quantity,Normalized unit,Hazard Signal Word,Site,State,Storage temperature,Sublocation,Tags,Transport hazard class 1,Transport hazard class 2,Transport hazard class 3,UN number,German Water Hazard Class (WGK),Molecular weight,InChI,CID,Iupac Name,Lagerklasse (TRGS 510),Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration
,3775,TCI,Materials Innovation Factory,2144-08-3,,21/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 9,Cupboard 1 > Box 9,,"2,3,4-Trihydroxybenzaldehyde",,,,Xiaobo Li (xli),,,,T2158,,,5 g,5,g,,5,,g,,,,,,,,,,,,154.1210022,"InChI=1S/C7H6O4/c8-3-4-1-2-5(9)7(11)6(4)10/h1-3,9-11H",75064,,,,,,,,,,,,,,
,6539,Aldrich,Materials Innovation Factory,2156-04-9,,01/11/2017,,Cooper Group,"Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Acute toxicity, Inhalation (Category 4)",,H302;H312;H332,GHS_07,Synthetic Laboratory,Box 8,Cupboard 10 > Box 8,BGBC211M,4-Vinylphenylboronic acid,,,,Rob Clowes (rob123),,,,417580-5G,,,5 g,5,g,,5,,g,Warning,,,FRIDGE,,,,,,0,,147.9700012,"InChI=1S/C8H9BO2/c1-2-7-3-5-8(6-4-7)9(10)11/h2-6,10-11H,1H2",2734393,,,,,,,,,,,,,,
,7130,Sigma-Aldrich,Materials Innovation Factory,2156-04-9,,17/11/2017,,Cooper Group,"Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Acute toxicity, Inhalation (Category 4)",,H302;H312;H332,GHS_07,Synthetic Laboratory,Fridge 3,Fridge 3,,4-vinylphenylbornic acid,,,,Veronica Del Angel Hernandez (v.del-angel-hernandez),,,,417580,,,5g,5,g,,5,,g,Warning,,,,,,,,,0,,147.9700012,"InChI=1S/C8H9BO2/c1-2-7-3-5-8(6-4-7)9(10)11/h2-6,10-11H,1H2",2734393,,,,,,,,,,,,,,
,11321,Fluorochem,Materials Innovation Factory,2208-07-3,,20/10/2021,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H302;H315;H319;H335,GHS_07,Synthetic Laboratory,FC04 (White cupboard),FC04 (White cupboard),,Ethyl acetimidate hydrochloride,,,,Wei Zhao (wzhao),,,P264;P302 + P352;P304 + P340;P332 + P313;P337 + P313;P351,239394,,,25g,25,g,25g,25,25,g,Warning,,Solid,,,,,,,,,123.5830002,"InChI=1S/C4H9NO.ClH/c1-3-6-4(2)5;/h5H,3H2,1-2H3;1H",2724290,,,,,,,,,,,,,,
,8907,Aldrich,Materials Innovation Factory,2208-07-3,,22/07/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,Cupboard 4,Cupboard 4,BCBK9192V,Ethyl acetimidate hydrochloride,,,,Xue Wang (xwang),,,,188840-10G,,97%,10 g,10,g,,10,,g,,,Solid,,,,,,,0,,123.5830002,"InChI=1S/C4H9NO.ClH/c1-3-6-4(2)5;/h5H,3H2,1-2H3;1H",2724290,,,,,,,,,,,,,,
,9078,Aldrich,Materials Innovation Factory,2232-08-8,,08/10/2019,,Cooper Group,"Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335);Specific target organ toxicity - single exposure (Category 3, H336)",,H315;H319;H335;H336,GHS_07,Synthetic Laboratory,FC18 (White cupboard),FC18 (White cupboard),,1-(p-Tolunesulfonyl)imidazole,,,,Aiting Kai (akai),,,P261;P305 + P351 + P338,244244-5G,,99%,5 g,5,g,5g,5,5,g,Warning,,Solid,ROOM,,,,,,0,,222.2689972,"InChI=1S/C10H10N2O2S/c1-9-2-4-10(5-3-9)15(13,14)12-7-6-11-8-12/h2-8H,1H3",75219,,,,,,,,,,,,,,
,3011,Alfa Aesar,Materials Innovation Factory,2236-01-3,,17/11/2017,,Cooper Group,"Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H319;H335,GHS_07,Synthetic Laboratory,Fridge 4,Fridge 4,10130884,Acetonyltriphenylphosphonium bromide ≥98%,,,,Marc Little (malittle),,,P261;P280;P304 + P340;P305 + P351 + P338;P405;P501,B22434,,,5 g,5,g,,5,,g,Warning,,Solid,,,,,,,0,,399.2680054,"InChI=1S/C21H20OP.BrH/c1-18(22)17-23(19-11-5-2-6-12-19,20-13-7-3-8-14-20)21-15-9-4-10-16-21;/h2-16H,17H2,1H3;1H/q+1;/p-1",638158,,,,,,,,,,,,,,
,9435,Aldrich,Materials Innovation Factory,2283-11-6,,21/01/2020,,Cooper Group,"Flammable liquids (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H226;H315;H319;H335,GHS_02;GHS_07,Synthetic Laboratory,Fridge 4,Fridge 4,,Tris(diethylamino)phosphine,,,,Xue Wang (xwang),III,,P210;P302 + P352;P305 + P351 + P338,253189-25G,,,25g,25,g,,25,,g,Warning,,Liquid,,,,3,,,1993,,247.3670044,"InChI=1S/C12H30N3P/c1-7-13(8-2)16(14(9-3)10-4)15(11-5)12-6/h7-12H2,1-6H3",75292,,,,,,,,,,,,,,
,4722,SIGMA,Materials Innovation Factory,2321-07-5,,16/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 2,Cupboard 7 > Box 2,BCBL0038V,Fluorescein,,,,Alex James (amjames),,,,46955-100G-F,,,100 g,100,g,,100,,g,,,Solid,ROOM,,,,,,0,,332.3110046,"InChI=1S/C20H12O5/c21-11-5-7-15-17(9-11)24-18-10-12(22)6-8-16(18)20(15)14-4-2-1-3-13(14)19(23)25-20/h1-10,21-22H",16850,,,,,,,,,,,,,,
,11045,ABCR,Materials Innovation Factory,2350-01-8,,20/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 12,Cupboard 7 > Box 12,,"N-p-Aminophenyl-diphenylamine, 95%; .",,,,Yue Wu (ywu),,,,AB446341,,,200 mg,200,mg,200 mg,0.2,0.2,g,,,,,,,,,,,,260.3399963,"InChI=1S/C18H16N2/c19-15-11-13-18(14-12-15)20(16-7-3-1-4-8-16)17-9-5-2-6-10-17/h1-14H,19H2",75371,"4-N,4-N-diphenylbenzene-1,4-diamine",,,,,,,,,,,,,
,9062,TCI,Materials Innovation Factory,2350-01-8,,07/10/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,FC29 (White Cupboard),FC29 (White Cupboard),,4-Aminotriphenylamine,,,,Michael Brand (mbrand),,,,A2624,,,200 mg,200,mg,200 mg,0.2,0.2,g,,,,,,"Haiyan Duan not on system yet, M Brand is next hood along so assigned to him",,,,,,260.3399963,"InChI=1S/C18H16N2/c19-15-11-13-18(14-12-15)20(16-7-3-1-4-8-16)17-9-5-2-6-10-17/h1-14H,19H2",75371,,,,,,,,,,,,,,
,8848,Fluorochem,Materials Innovation Factory,2459-07-6,,03/07/2019,,Cooper Group,"Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H335,GHS_07,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),,Methyl picolinate,,,,Xiaobo Li (xli),,,P264;P302 + P352;P304 + P340;P305 + P351;P332 + P313;P337 + P313,078704,,,10 g,10,g,10 g,10,10,g,Warning,,Liquid,,,,,,,,,137.1380005,"InChI=1S/C7H7NO2/c1-10-7(9)6-4-2-3-5-8-6/h2-5H,1H3",75569,,,,,,,,,,,,,,
,8967,TCI America,Materials Innovation Factory,2459-07-6,,21/08/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,Cupboard 1,Cupboard 1,,methyl pyridine-2-carboxylate,Flammability: 1; Health: 2; Instability/reactivity: 0,,,Xiaobo Li (xli),,,,p0423,,,25g,25,g,,25,,g,Warning,,Liquid,,,,,,,,,137.1380005,"InChI=1S/C7H7NO2/c1-10-7(9)6-4-2-3-5-8-6/h2-5H,1H3",75569,,,,,,,,,,,,,,
,4235,Alfa Aesar,Materials Innovation Factory,2493-02-9,,18/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Fridge 1 > Box 1,10186064,4-Bromophenyl isocyanate ≥99%,,,,Haofan Yang (hyang),I,,,L10834,,,5 g,5,g,,5,,g,,,,FRIDGE,,,,,,2811,,198.0189972,InChI=1S/C7H4BrNO/c8-6-1-3-7(4-2-6)9-5-10/h1-4H,75609,,,,,,,,,,,,,,
,4236,Alfa Aesar,Materials Innovation Factory,2493-02-9,,18/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Fridge 1 > Box 1,10198774,4-Bromophenyl isocyanate,,,,Haofan Yang (hyang),I,,,L10834,,,5g,5,g,5g,5,5,g,,,,FRIDGE,,,,,,2811,,198.0189972,InChI=1S/C7H4BrNO/c8-6-1-3-7(4-2-6)9-5-10/h1-4H,75609,,,,,,,,,,,,,,
,6751,Aldrich,Materials Innovation Factory,2554-06-5,,03/11/2017,,Cooper Group,Serious eye damage/eye irritation (Category 2),,H319,GHS_07,Synthetic Laboratory,Box 6,Cupboard 10 > Box 6,,"2,4,6,8-Tetramethyl-2,4,6,8-tetravinylcyclotetrasiloxane",,,,Marc Little (malittle),,,,396281-10ML,,,10 ml,10,ml,,10,,ml,Warning,,,,,,,,,0,,344.6640015,"InChI=1S/C12H24O4Si4/c1-9-17(5)13-18(6,10-2)15-20(8,12-4)16-19(7,11-3)14-17/h9-12H,1-4H2,5-8H3",75706,,,,,,,,,,,,,,
,9368,Sigma-Aldrich,Materials Innovation Factory,2610-10-8,,06/01/2020,,Cooper Group,No data available,,,,Synthetic Laboratory,FC23 (White Cupboard),FC23 (White Cupboard),,Direct Red 50,,,,Ai He (ahe),,,,365548-5G,,,5 G,5,g,5 G,5,5,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
