"barcode","cas","prefix","name","description","container_size","size_unit","date_purchased","date_disposed","parent_location","location","haz_substance","un_number","dg_class_1","dg_class_2","dg_class_3","packing_group","schedule","supplier"
"100010079600","82-86-0","","acenaphthenequinone",,25,"gram","2019-10-30 07:46:23",,"Harmful","H1",True,"",,,,,,
"100010079700","122-85-0","4-","acetamidobenzaldehyde",,10,"gram","2019-10-30 07:46:23",,"Harmful","H1",False,"",,,,,,
"100010079701","122-85-0","4-","acetamidobenzaldehyde",,10,"gram","2019-10-30 07:46:24",,"Harmful","H1",False,"",,,,,,
"100010079702","122-85-0","4-","acetamidobenzaldehyde",,10,"gram","2019-10-30 07:46:24",,"Harmful","H1",False,"",,,,,,
"100010013000","64-19-7","","acetic acid (glacial)",,2.5,"liter","2019-10-30 07:46:25",,"Corrosive","Acid Liquid 1",True,"2789","8","3",,"II",,
"100010013001","64-19-7","","acetic acid (glacial)",,500,"milliliter","2019-10-30 07:46:25",,"Corrosive","Acid Liquid 2",True,"2789","8","3",,"II",,
"100010001300","9004-35-7","","acetylated cellulose for TLC",,500,"gram","2019-10-30 07:46:26",,," Chromatography and filtration aids",False,"",,,,,,
"100010001301","9004-35-7","","acetylated cellulose for TLC",,500,"gram","2019-10-30 07:46:26",,," Chromatography and filtration aids",False,"",,,,,,
"100010001400","1344-28-1","","aluminium oxide (acidic)",,450,"gram","2019-10-30 07:46:27",,," Chromatography and filtration aids",False,"",,,,,,
"100010013200","108-24-7","","acetic anhydride",,500,"milliliter","2019-10-30 07:46:27",,"Corrosive","Acid Liquid 2",True,"1715","8","3",,"II",,
"100010013201","108-24-7","","acetic anhydride",,2.5,"liter","2019-10-30 07:46:28",,," Missing",True,"1715","8","3",,"II",,
"100010001500","1344-28-1","","aluminium oxide (acidic)",,1,"kilogram","2019-10-30 07:46:28",,," Chromatography and filtration aids",False,"",,,,,,
"100010001600","1344-28-1","","aluminium oxide (acidic)",,500,"gram","2019-10-30 07:46:29",,," Chromatography and filtration aids",False,"",,,,,,
"100010079800","878-00-2","4-","acetoxybenzaldehyde",,1,"gram","2019-10-30 07:46:29",,"Harmful","H1",False,"",,,,,,
"100010159600","878-00-2","4-","acetoxybenzaldehyde",,5,"milliliter","2019-10-30 07:46:30",,," Missing",False,"",,,,,,
"100010065800","75-36-5","","acetyl chloride",,100,"milliliter","2019-10-30 07:46:30",,"Fridge","Shelf 1 Box 1",True,"1717","3","8",,"II",,
"100010065801","75-36-5","","acetyl chloride",,250,"milliliter","2019-10-30 07:46:31",,"Fridge","Shelf 1 Box 1",True,"1717","3","8",,"II",,
"100010159700","42877-08-7","2","acetyl-3-bromo thiophene",,5,"gram","2019-10-30 07:46:31",,,"Freezer 1",True,"",,,,,,
"100010068100","6607-96-1","N-(4-","acetyl-5-hydroxy-2-nitrophenyl)acetamide",,1,"gram","2019-10-30 07:46:32",,"Fridge","Shelf 2 Box 1",True,"",,,,,,
"100010068200","616-91-1","N-","acetyl-L-cysteine",,10,"gram","2019-10-30 07:46:32",,"Fridge","Shelf 2 Box 1",False,"",,,,,,
