Serial No.,CAS No.,Prefix,Name,Haz. sub.,DG Class,DG Subclass,Schedule,Packing group,UN No.,Size,Size Unit,Location
100010079600,82-86-0,,acenaphthenequinone,Yes,,,,,,25,gram,Harmful H1
100010079700,122-85-0,4-,acetamidobenzaldehyde,No,,,,,,10,gram,Harmful H1
100010079701,122-85-0,4-,acetamidobenzaldehyde,No,,,,,,10,gram,Harmful H1
100010079702,122-85-0,4-,acetamidobenzaldehyde,No,,,,,,10,gram,Harmful H1
100010013000,64-19-7,,acetic acid (glacial),Yes,8,3,,II,2789,2.5,liter,Corrosive Acid 1
100010013001,64-19-7,,acetic acid (glacial),Yes,8,3,,II,2789,500,milliliter,Corrosive Acid 1
100010001300,9004-35-7,,acetylated cellulose for TLC,No,,,,,,500,gram, Chromatography/filtration aids
100010001301,9004-35-7,,acetylated cellulose for TLC,No,,,,,,500,gram, Chromatography/filtration aids
100010001400,1344-28-1,,aluminium oxide (acidic),No,,,,,,450,gram, Chromatography/filtration aids
100010013200,108-24-7,,acetic anhydride,Yes,8,3,,II,1715,500,milliliter,Corrosive Acid 1
100010013201,108-24-7,,acetic anhydride,Yes,8,3,,II,1715,2.5,liter,Corrosive Acid 1
100010001500,1344-28-1,,aluminium oxide (acidic),No,,,,,,1,kilogram, Chromatography/filtration aids
100010001600,1344-28-1,,aluminium oxide (acidic),No,,,,,,500,gram, Chromatography/filtration aids
100010079800,878-00-2,4-,acetoxybenzaldehyde,No,,,,,,1,gram,Harmful H1
100010159600,878-00-2,4-,acetoxybenzaldehyde,Yes,,,,,,5,milliliter,Corrosive Acid 1
100010065800,75-36-5,,acetyl chloride,Yes,3,8,,II,1717,100,milliliter,Fridge S1 B1
100010065801,75-36-5,,acetyl chloride,Yes,3,8,,II,1717,250,milliliter,Fridge S1 B1
100010159700,42877-08-7,2,acetyl-3-bromo thiophene,Yes,,,,,,5,gram,Freezer 1 S1
100010068100,6607-96-1,N-(4-,acetyl-5-hydroxy-2-nitrophenyl)acetamide,Yes,,,,,,1,gram,Fridge S2 B1
100010068200,616-91-1,N-,acetyl-L-cysteine,No,,,,,,10,gram,Fridge S2 B1
100010001700,1344-28-1,,aluminium oxide (acidic),No,,,,,,1,kilogram, Chromatography/filtration aids
100010001701,1344-28-1,,aluminium oxide (acidic),No,,,,,,1,kilogram, Chromatography/filtration aids
100010119500,3457-45-2,4-,acetylbenzaldehyde,Yes,,,,,,1,gram,Harmful H8
100010074900,142-45-0,,acetylenedicarboxylic acid,Yes,6.1,,,III,2811,25,gram,Fridge S4 B1
100010079901,1122-62-9,2-,acetylpyridine,Yes,,,,,,100,gram,Harmful H1
100010140800,350-03-08,3-,acetylpyridine,Yes,6.1,,,III,2810,100,gram,Toxic TM1
100010013300,79-10-7,,acrylic acid,Yes,8,3,,II,2218,500,gram,Corrosive Acid 1
100010013301,79-10-7,,acrylic acid,Yes,8,3,,II,2218,100,gram,Corrosive Acid 1
100010080000,700-57-2,2-,adamantanol,Yes,,,,,,5,gram,Harmful H1
100010119600,768-95-6,1-,adamantanol,No,,,,,,5,gram,Harmful H8
100010081501,700-58-3,2-,adamantanone,Yes,,,,,,100,gram,Harmful H10
100010054500,58-61-7,,adenosine,No,,,,,,1,gram,Freezer 1 S2 B2
100010013400,111-50-2,,adipoyl chloride,Yes,3,,,,,25,gram,Corrosive Acid 1
100010062800,78-67-1,,AIBN,Yes,4.1,,,,3234,500,gram,Freezer 1 S5 B1
100010075000,78-67-1,,AIBN,Yes,4.1,,,,3234,10,gram,Fridge S4 B1
100010075001,78-67-1,,AIBN,Yes,4.1,,,,3234,9,gram,Fridge S4 B1
100010075002,78-67-1,,AIBN,Yes,4.1,,,,3234,9,gram,Fridge S4 B1
100010160100,78-67-1,,AIBN,Yes,4.1,,,,3234,50,gram,Freezer 1 S5 B1
100010061000,338-69-2,D-,alanine,No,,,,,,25,gram,Freezer 1 S4 B2
100010119700,107-95-9,b-,alanine,Yes,,,,,,25,gram,Harmful H8
100010119701,107-95-9,b-,alanine,Yes,,,,,,25,gram,Harmful H8
100010059300,2127-03-09,,aldrithiol-2,Yes,9,,,,3335,5,gram,Freezer 1 S4 B1
100010032600,106-95-6,,allyl bromide,Yes,3,,,I,1099,250,milliliter,Flammable liquid Small
100010032700,35466-83-2,,allyl methyl carbonate,Yes,3,,,III,3272,50,milliliter,Flammable liquid Small
100010032701,35466-83-2,,allyl methyl carbonate,Yes,3,,,III,3272,25,milliliter,Flammable liquid Small
100010001702,1344-28-1,,aluminium oxide (acidic),No,,,,,,500,gram, Chromatography/filtration aids
100010032800,111-45-5,2-,allyloxyethanol,Yes,,,,,,250,milliliter,Flammable liquid Small
100010075100,107-37-9,,allyltrichlorosilane,Yes,8,3,,II,1724,5,gram,Fridge S4 B1
100010075101,107-37-9,,allyltrichlorosilane,Yes,8,3,,II,1724,5,gram,Fridge S4 B1
100010075200,24400-84-8,,allyltriisopropylsilane,Yes,,,,,,10,gram,Fridge S4 B1
100010075300,2551-83-9,,allyltrimethoxysilane,Yes,3,,,III,1993,5,milliliter,Fridge S4 B1
100010065900,762-72-1,,allyltrimethyl silane,Yes,,,,,,10,gram,Fridge S1 B1
100010119800,18752-21-1,,allyltriphenylsilane,No,,,,,,5,gram,Harmful H8
100010119801,18752-21-1,,allyltriphenylsilane,No,,,,,,5,gram,Harmful H8
100010013500,7446-70-0,,aluminium chloride,Yes,8,,,II,1726,500,gram,Corrosive Acid 1
100010159800,7446-70-0,,aluminium chloride,Yes,8,,,II,1726,500,gram,Corrosive Acid 1
100010001800,1344-28-1,,aluminium oxide (acidic),No,,,,,,500,gram, Chromatography/filtration aids
100010001900,68855-54-9,,celite 545,No,,,,,,1,kilogram, Chromatography/filtration aids
100010002000,9004-34-6,,cellulose MN 300 for TLC,No,,,,,,500,gram, Chromatography/filtration aids
100010002100,7440-44-0,,charcoal,No,,,,,,500,gram, Chromatography/filtration aids
100010002101,7440-44-0,,charcoal,No,,,,,,500,gram, Chromatography/filtration aids
100010002200,1343-88-0,,florisil,No,,,,,,250,gram, Chromatography/filtration aids
100010002300,37199-22-7,,ion-exchange resin AG 50W-X4 (H),No,,,,,,500,gram, Chromatography/filtration aids
100010002400,69011-20-7,,ion-exchange resin Dowex 50-X8 (Na),No,,,,,,500,gram, Chromatography/filtration aids
100010002500,63428-84-2,,polyamide SC6,No,,,,,,500,gram, Chromatography/filtration aids
100010002600,112926-00-8,,silica gel,No,,,,III,,500,gram, Chromatography/filtration aids
100010002700,112926-00-8,,silica gel,No,,,,III,,500,gram, Chromatography/filtration aids
100010098700,39389-20-3,,amberlyst-15,No,,,,,,500,gram,Harmful H22
100010080100,7568-93-6,2-,amino-1-phenylethanol,Yes,,,,,,10,gram,Harmful H1
100010080200,304655-78-5,3-,"amino-1,2,4-triazole-5-carboxylic acid hydrate",No,,,,,,25,gram,Harmful H1
100010003600,2604-39-9,4-,amino-2-chloro-5-nitropyridine,No,,,,,,2,gram,Harmful H18
100010147200,55338-73-3,5-,amino-2-cyanopyridine,Yes,6.1,,,,,25,gram,Toxic TS1
100010147300,53312-81-5,5-,amino-2-fluorobenzonitrile,Yes,6.1,,,,,5,gram,Toxic TS1
100010080300,13269-19-7,3-,amino-2-nitropyridine,Yes,,,,,,5,gram,Harmful H1
100010024000,36768-62-4,4-,"amino-2,2,6,6-tetramethylpiperidine",Yes,8,,,III,2735,5,gram,Corrosive Base 1
100010063700,2897-43-0,4-,"amino-2,6-dichloro-3-nitropyridine",No,,,,,,5,gram,Fridge Door
100010157900,220353-22-0,4-,"amino-2,6-difluorophenol HCl",No,,,,,,1,gram,Harmful H1
100010157901,220353-22-0,4-,"amino-2,6-difluorophenol HCl",No,,,,,,1,gram,Harmful H1
100010140900,63069-50-1,4-,amino-3-fluorobenzonitrile,Yes,6.1,,,,,25,gram,Toxic TM1
100010080400,4389-45-1,2-,amino-3-methylbenzoic acid,No,,,,,,25,gram,Harmful H1
100010080501,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080502,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080503,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080504,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080505,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080507,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
100010080508,6393-40-4,4-,amino-3-nitrobenzonitrile,Yes,,,,,,5,gram,Harmful H1
